Description,Actions,Objects
"spoon custard into microwaveable bowl and microwave on full until it rises ,","microwave, rise","microwaveable bowl, spoon, spoon custard"
when it's bubbling near the top of the bowl stop microwave and leave to stand whilst --,"bubble, leave, microwave, stand, stop","bowl, top"
"leaving peel on banana , chop it in half","chop, leave","banana, peel"
"(you might fancy the other half in a minute , but it will otherwise keep ok for a couple of days on the top shelf in the refrigerator --","fancy, keep","couple, days, minute, other half, refrigerator, top shelf"
peel the half banana & discard peel,peel,half
"holding banana lengthways in your hand , slice it lengthways right thru","hold, lengthway, slice","banana, banana lengthways, hand, right thru"
then rotate it and slice lengthways again so it's quartered into long quarters,"quarter, rotate","lengthways, long quarters, slice"
supporting it in your hand and fingers chop it roughly at quarter inches intervals lengthways to end up with lots of hasty cut chunky segments,"chop, cut, end, lengthway, support","fingers, hand, hasty cut chunky segments, inches, inches intervals, lots, quarter"
disperse the banana bits across the top of the custard,disperse,"banana, banana bits, custard, top"
get a small pot or egg cup and spoon a generous teaspoon of your favourite strawberry jam / jelly into it,"get, spoon","egg, egg cup, favourite strawberry jam, generous teaspoon, jelly, small pot, strawberry"
pour on a little of the hot water from the kettle - just enough to make it runny enough to pour like a thick sauce across the top of the banana bits,"make, pour","banana, banana bits, hot water, kettle, thick sauce, top"
"pour strawberry sauce across top of bananas and custard and put the bowl back into microwave for about 45 seconds so you don't want to boil it , just hot","boil, put, want","bananas, bowl, custard, microwave, pour, pour strawberry sauce, seconds, strawberry, top"
take out and if it seems hot enough pour over a teaspoon or so of granulated sweetener - to taste,"granulate, seem, take, taste","enough pour, granulated sweetener, teaspoon"
sprinkle cinnamon across the top and serve,"serve, sprinkle","cinnamon, top"
"not a lot to it but it's quick , sweet , very tasty and very enjoyable and it's a great way to use up bananas that are too soft and squishy",use,"bananas, great way, lot"
plus you won't blow up like a balloon on the caloric load - unless you eat two dozen portions !,"blow, eat","balloon, caloric load, dozen, portions"
it won't matter if the bananas are still very fresh as once heated they soften and sweeten a lot,"matter, soften, sweeten","bananas, lot"
combine all ingredients mixing well,"combine, mix",ingredients
add 2 tablespoons of butter or oil,add,"butter, oil, tablespoons"
add 2 tablespoons of water,add,"tablespoons, water"
add a pinch of salt,add,"pinch, salt"
add cocoa or chocolate powder,add,"chocolate, cocoa, powder"
add 1 tablespoon of sugar for chocolate powder or 2 tablespoons of sugar for cocoa powder,add,"chocolate, chocolate powder, cocoa, cocoa powder, sugar, tablespoon, tablespoons"
add 1 teaspoon of vanilla extract,add,"teaspoon, vanilla, vanilla extract"
microwave it for 2 minutes,microwave,minutes
"sift powdered sugar , cocoa , and salt into a 1 quart microwave safe bowl","powder, salt, sift","cocoa, microwave, powdered sugar, quart safe bowl"
stir in milk and vanilla,stir,"milk, vanilla"
"microwave on high , 2 minutes",microwave,high minutes
beat with wooden spoon until smooth,beat,wooden spoon
spread in 8 x 8 x 2 inch baking pan,"bake, spread","inch, pan"
chill about 1 hour or until firm,chill,"firm, hour"
put all ingredients in a blender,put,"blender, ingredients"
put the ingredients in the specified order into a large bowl or other container with lid that can be sealed,"put, seal, specify","ingredients, large bowl, lid, other container, specified order"
"close the lid then shake hard from side to side 5 or 6 times , then up and down 5 or 6 6 times","close, shake, side","lid, side, times"
use your fingers to pat the pastry into a pie plate or pizza pan,"pat, use","fingers, pastry, pie, pie plate, pizza"
add the rest of your ingredients and bake,"add, bake","ingredients, rest"
"heat oil in saut pan , medium high heat",,"heat, heat oil, medium high heat"
"sear scallops about 15 seconds either side , remove from pan and keep warm","keep, remove","pan, scallops, seconds, side"
add wine and deglaze the pan for about 10 seconds then add marmalade and swirl around until sauce begins to boil,"add, begin, boil, deglaze, swirl","marmalade, pan, sauce, seconds, wine"
"pour over scallops , garnish with a sprinkle of fresh herbs like , tarragon , chives or coriander","coriander, garnish, pour","chives, fresh herbs, scallops, sprinkle, tarragon"
place splenda and butter in a large bowl,,"butter, large bowl, place splenda"
cream with an electric mixer until light and fluffy,,"cream, electric mixer, light"
"in another large bowl , mix together flour , baking powder and baking soda","bake, mix","flour, large bowl, powder, soda"
add half of flour mixture to butter mixture,"add, butter","butter mixture, flour, flour mixture, half"
add milk and remaining flour mixture,"add, remain","flour, milk, remaining flour mixture"
beat until batter is combined and then fold in mashed bananas,"beat, combine, fold","batter, mashed bananas"
spoon batter into muffin liners about 3 / 4 full,,"muffin, muffin liners, spoon, spoon full batter"
"bake until muffins start to brown and a tester inserted in center of a muffin comes out clean , about 20 to 30 minutes","come, insert, start","brown, center, minutes, muffin, muffins, tester"
allow muffins to cool in pan for about 2 minutes,"allow, cool","minutes, muffins, pan"
bring a large pot of water to a boil over medium-high heat,bring,"boil, high heat, large pot, water"
add the broccoli rabe and cook until the thickest stems are tender,"add, cook","broccoli, broccoli rabe, thickest stems"
about 3 minute drain and set aside,set,"minute, minute drain"
heat the oil in large nonstick skillet over medium heat,heat,"large nonstick, medium heat, oil, skillet"
"add garlic and cook , stirring , until fragrant , about 1 minute","add, stir","cook, garlic, minute"
add the broccoli rabe and sprinkle with the salt and crushed red pepper,"add, crush, sprinkle","broccoli, broccoli rabe, red pepper, salt"
"cook , stirring , until coated with the oil and heated through , about 2 minute","coat, cook, heat, stir","minute, oil"
spoon into a serving bowl and sprinkle with parmesan,"serve, spoon, sprinkle","parmesan, serving bowl"
2 points plus for 1 cup serving,serve,"cup, points"
"dipping sauce: combine vinegar , lime juice , peanuts , sugar and salt in small bowl",combine,"dipping, dipping sauce, lime, lime juice, peanuts, salt, small bowl, sugar, vinegar"
combine noodles with boiling water in medium bowl,combine,"boiling, boiling water, medium bowl, noodles"
soak noodles for 12 minute drain and pat dry with paper towels,"dry, soak","minute, minute drain, noodles, paper, paper towels, pat"
half-fill large skillet with warm water,,"half fill, large skillet, warm water"
soak 1 rice paper round in water 30-45 seconds,soak,"paper round, rice, rice paper, seconds, water"
pat with paper towel to remove water,remove,"paper, paper towel, water"
place 1 / 4 noodles on bottom third of rice paper,,"noodles, place, rice, rice paper"
"top with 1 / 4 each of cucumber , carrot , scallions , and cilantro",,"carrot, scallions, top"
"tightly roll rice paper around filling , but just enough to cover it","cover, fill","rice paper, roll, roll rice"
"place 1 / 4 parsley leaves in single row along the roll , then continue rolling up to form neat cylinder","continue, form, roll","neat cylinder, parsley, parsley leaves, place, roll, single row"
place roll seam side down on plate and cover with damp paper towel,cover,"damp paper towel, paper, place roll seam, plate, seam side"
slice each rolls on diagonal into 4 pieces,slice,"pieces, rolls"
2 points plus yeilds 1 roll and 1 / 2 tbsp sauce,yeild,"points, roll, tbsp, tbsp sauce"
"in one pot , cook rice",cook,"pot, rice"
you will want to end up with 2 cups of cooked rice,"cook, end, want","cooked rice, cups"
"in the second pot , a medium dutch oven , brown ground beef , onion and garlic",,"brown ground beef, garlic, ground, onion, second pot"
drain if needed and return to pot,"drain, need, return",pot
"add your soup and sauce , 1 / 2 cup water , cabbage , salt and pepper to taste","add, taste","cabbage, cup, cup water, pepper, salt, sauce, soup"
"cook over medium heat , covered , for 15-20 minutes or until cabbage is soft","cook, cover","cabbage, medium heat, minutes"
"stir occasionally and add remainder 1 / 4 cup of water while cooking , if sauce gets too thick","add, cook, get, stir","cup, remainder, sauce, water"
divide rice onto 4 plates,divide,"plates, rice"
top with the beefy tomato cabbage mix,,"beefy tomato cabbage mix, cabbage, tomato, top"
pour undrained pineapple into bowl,undraine,"bowl, pour, undrained pineapple"
add spices and stir until blended,"add, blend, stir",spices
"in small saucepan , combine ingredients",combine,"ingredients, small saucepan"
heat on med to boiling,,"boiling, heat"
"cook 10 minutes or until thickened , stirring often","cook, stir, thicken",minutes
"can be used to baste chicken , pork , or fish","baste, use","chicken, fish, pork"
"or are excellent as dipping sauces for nuggets , strips , etc",dip,"dipping sauces, nuggets, strips"
"in a blender , combine cilantro , tomatoes , jalapenos , juice of 1 / 2 a lime",combine,"blender, jalapenos, juice, lime, tomatoes"
"the salsa will have a small bite from just the jalapenos , i like to taste it now and then add in minced seeds for heat -- remember to add in small amounts , jalapenos add the kind of heat that sneaks up on you","add, have, like, mince, remember, sneak, taste","heat, jalapenos, kind, minced seeds, salsa, small amounts, small bite"
not to mention one night in the fridge with all those flavors mingling could up the heat substantially,"mention, mingle","flavors, fridge, heat, night"
sometimes i use cayenne pepper to build heat bc it dosen't seem to have as strong of staying power on your tounge,"build, have, seem, stay, use","cayenne, cayenne pepper, heat, power, tounge"
then again i'm sure others would disagree and have their own methods for building heat,"build, disagree, have","heat, others, own methods"
"last add the onions and once this is done put the blender away , otherwise you end up with spicy vegetable pulp , the onions will give it texture","add, do, end, give, put","blender, onions, spicy vegetable pulp, texture, vegetable"
sometimes i leave out the cilantro until i add the onions to give the sauce even more texture,"add, give, leave","cilantro, more texture, onions, sauce"
of course you'll want to chop the leaves a little,"chop, want","course, leaves"
cook the pasta in boiling water until tender,cook,"boiling, boiling water, pasta, tender"
"drain well , then run under cold water to cool","cool, drain, run",cold water
"cut the bacon , peppers and sun dried tomatoes into thin strips","cut, dry","bacon, peppers, thin strips, tomatoes"
heat the first tablespoon of oil in a pan and cook this mixture until the peppers are soft,"cook, heat","first tablespoon, mixture, oil, pan, peppers"
"combine the pasta , pepper mixture , cheese , nuts , herbs and fresh tomatoes in a bowl",combine,"bowl, cheese, fresh tomatoes, herbs, nuts, pasta, pepper, pepper mixture"
add the dressing and mix well,"add, mix",dressing
for tomato caper tapenade: process all ingredients till finely minced,"mince, process","ingredients, tapenade, tomato, tomato caper"
top w / a few extra capers as desired,desire,top extra capers
for tofu pate: process half the seeds till finely ground,grind,"process, seeds, tofu, tofu pate"
"add tofu , oil + wheatgerm & process till combined","add, combine","oil, process, tofu, wheatgerm"
"stir in remaining seeds , carrot + dill","remain, stir","carrot, dill, remaining seeds"
"serve w / carrot & celery sticks , snow peas & thin slices of baguette bread",serve,"snow, sticks, thin slices"
"chop onion , pepper , courgette and mushrooms and fry over a medium heat in a saucepan until the pepper is soft",chop,"courgette, fry, medium heat, mushrooms, onion, pepper, saucepan"
"add the tomato , sweetcorn , herbs and paprika to the saucepan and let simmer for 10 minutes , stirring occasionally","add, let, stir","herbs, minutes, paprika, saucepan, simmer, tomato"
"check the taste and add salt , pepper and / or more paprika if necessary","add, check","paprika, pepper, salt, taste"
leave to simmer for another 15-20 mins - this is the perfect point to start cooking the pasta !,"cook, leave, simmer, start","mins, pasta, perfect point"
add garlic about 10 mins before serving - if it gets cooked for any longer it will lose its taste,"add, cook, lose, serve","garlic, mins, taste"
cheese melted over the top is nice if you eat cheese,"eat, melt","cheese, top"
"in the peak of tomato season , chill 1 very large or 2 medium size tomatoes that have been vine-ripened and have plenty juice","chill, have, ripen","large size, peak, plenty juice, size tomatoes, tomato, tomato season, vine"
take 2- slices of bread and coat them with 1 / 4 inch good mayonnaise,"coat, take","2- slices, bread, good mayonnaise, inch"
add layer of tomatoes cut 1 / 4 inch thick,"add, cut","inch, layer, tomatoes"
salt & pepper to taste,taste,"pepper, salt"
add another slice of tomatoes and salt and pepper to taste again,"add, taste","pepper, salt, slice, tomatoes"
add the other piece of bread on top of this,add,"bread, other piece, top"
roll up your sleeves and start eating over the kitchen sink while the juice runs down your elbows,"eat, roll, run, start","elbows, juice, kitchen, kitchen sink, sleeves"
put ingredients into a blender and blend until completely smooth,put,"blend, blender, ingredients"
"serve in plastic cups with swivel straw , if available",serve,"plastic, plastic cups, swivel, swivel straw"
toss hot pasta with cheese and dressing,toss,"cheese, dressing, hot pasta"
that's it that's all !,,
add hot water and stir,"add, stir",hot water
"add sweetener , vanilla , and salt",add,"salt, sweetener, vanilla"
toss all of the veggies and the cheese together in a medium bowl,toss,"cheese, medium bowl, veggies"
start with about a 1 / 4 cup of ranch dressing and stir,"start, stir","cup, ranch, ranch dressing"
continue to add ranch until it is all well covered,"add, continue, cover",ranch
serve with your favorite cracker,serve,favorite cracker
brown beef in a dutch oven,,"brown beef, dutch oven"
"add tomato sauce , 2 cups water , paprika , cumin , onion flakes , garlic salt , chili powder , and ground red pepper",add,"chili, chili powder, cumin, cups, cups water, garlic salt, ground, onion, onion flakes, paprika, red pepper, tomato, tomato sauce"
"cover and simmer for 30 minutes , stirring occasionally","cover, simmer, stir",minutes
"dissolve 2 tablespoons masa into 1 / 4 cup hot water to make a thick , but flowable mixture","dissolve, make","cup, flowable mixture, hot water, tablespoons, tablespoons masa"
add masa mixture to chili,"add, chili","masa, masa mixture"
cover and simmer another 15-20 minutes,"cover, simmer",minutes
saute the mushrooms and salt / pepper in the olive oil until the mushrooms are slightly brown,saute,"mushrooms, olive oil, pepper, salt"
line a sheet pan with foil and spray with nonstick cooking spray,"line, spray","cooking spray, foil, nonstick, nonstick cooking, sheet, sheet pan"
each split roll gets half of the butter and garlic amount,get,"amount, butter, garlic, half, split roll"
"spread each amount of butter over face of roll , then the garlic",spread,"amount, butter, face, garlic, roll"
cheese in equal parts and spread out over bread,spread,"bread, cheese, equal parts"
spread sauteed mushrooms over mozz,"saute, spread",sauteed mushrooms
lay / spread american or cheddar cheese over mushrooms,,"cheddar, cheddar cheese, mushrooms"
put on sheet pan and bake for 10 minutes,"bake, put","minutes, sheet, sheet pan"
"since this employs the use of a very hot oven , make sure your oven is clean before you start to reduce the risk of smoking your family out of the house","employ, make, reduce, smoke, start","family, hot oven, house, oven, risk, use"
place oven rack on lowest position in oven,"oven, rack","lowest position, place"
"remove all giblets , neck , pop-up thermometer and any trussing","pop, remove, truss","giblets, neck, pop thermometer"
"rinse turkey thoroughly , inside and out with cool water , letting all water drain out of neck and body cavities","drain, let","body, body cavities, cool water, neck, water"
"pat dry , inside and out , with paper toweling",,"paper, paper toweling"
"place on v or u-shaped wire rack in roasting pan , so that turkey doesn't rest on bottom of pan","rest, roast","bottom, pan, place, roasting pan, u - shaped wire rack, v, wire"
"first time i made this i didn't have a rack , so i just slapped it in my grandmother's old-fashioned blue-enamel roaster pan and it turned out fine","have, make, slap, turn","first time, grandmother, rack"
rub entire outside of dried-off turkey with olive oil,"dry, rub","dried turkey, olive oil"
sprinkle generously with salt and pepper,sprinkle,"pepper, salt"
"i use kosher salt because it has large , coarse grains","have, use","kosher salt, large coarse grains"
"using aluminum foil , form caps over the end of each drumstick","form, use","aluminum, aluminum foil, caps, drumstick, end"
"if any parts of the turkey extend beyond pan rim , make a foil ""collar"" underneath to make sure drippings flow back into pan","flow, make","collar, drippings, foil, pan, pan rim, parts, turkey, turkey extend"
"do not tie legs together , do not add stuffing , do not close body cavity","add, close, stuff, tie","body, body cavity, legs"
"half-way through cooking time , turn roaster / turkey around to ensure even cooking","cook, ensure, turn","cooking, cooking time, half way, roaster"
"if any part of the turkey becomes too brown during cooking , cover it loosely with foil tent","become, cover","cooking, foil, foil tent, part, turkey"
cooking timing chart below: 10-13 lbs,,"chart, cooking, cooking timing, lbs"
,,
,,
,,
,,
,,
,,
it's done when internal temp is 160 degrees,do,"degrees, internal temp"
"when done , remove from oven","do, remove",
"cover completely with foil , and let rest 30-45 minutes before carving","carve, cover, let, rest","foil, minutes"
the internal temp will continue to rise to the recommended 165f,"continue, recommend, rise",internal temp
"after resting , transfer to platter for carving","carve, rest","platter, transfer"
save the juices to make gravy or moisten dressing !,"dress, make, moisten, save","gravy, juices"
place white grape juice and ginger-ale in refrigerator overnight or until well chilled,chill,"ginger, ginger ale, place grape juice, refrigerator, white grape"
placing them in the freezer for a couple of hours before serving will make them 'icy' and everyones favorite,"everyone, icy, make, place, serve","couple, freezer, hours"
"in a serving picture or punch bowl , pour equal parts white grape juice and ginger-ale","pour, punch, serve","bowl, equal parts, ginger, ginger ale, grape juice, serving picture, white grape"
"fill each glass , and if you want garnish with frozen fruit","fill, want","frozen fruit, glass"
"optional garnish: on a lined cookie sheet , place the fruit in a single layer but not touching , into the freezer for several hours until frozen","place, touch","cookie, freezer, fruit, lined cookie sheet, optional garnish, several hours, single layer"
"after they are completely frozen , they can be bagged together as long as they stay in the freezer so they don't stick together","bag, stay, stick",freezer
then use one of each fruit to garnish each glass,"garnish, use","fruit, glass"
it is beautiful and also keeps it colder longer and doesn't water down the flavor,"keep, water",flavor
"mix all dry ingredients in a microwave safe mug with a fork , add all wet ingredients and mix thoroughly until its a smooth and running liquid","add, mix, run","dry ingredients, fork, microwave, safe mug, smooth liquid, wet ingredients"
"place mug in microwave and set on full power for 2 minutes after the timer has gone off , let cake sit in microwave for 30 seconds","go, let, set, sit","cake, full power, microwave, minutes, seconds, timer"
"serve plain , dusted with sugar , with vanilla ice cream or whipped cream -- whatever catches your fancy","catch, dust, serve, whip","fancy, ice, sugar, vanilla, vanilla ice cream, whipped cream"
combine crumbs with butter and 1 tbsp sugar,combine,"butter, crumbs, tbsp, tbsp sugar"
stir until sandy in texture,stir,"sandy, texture"
divide between two pint-sized mason jars or large coffee mugs,divide,"coffee, large coffee mugs, mason, pint, sized mason jars"
pack crumbs down into bottoms,pack,"bottoms, crumbs"
stir remaining ingredients together until smooth,"remain, stir",remaining ingredients
place in microwave for 2 minutes on high,,"microwave, minutes, place"
continue to cook for 30-second intervals until the tops appear dry,"appear, continue, cook","second, second intervals, tops"
transfer to refrigerator for at least 1 hour before serving,"serve, transfer","hour, refrigerator"
the top will develop a dimple as it cools,"cool, develop",top
top with a dollop of whipped cream to cover it up,"cover, whip","dollop, top, whipped cream"
"lightly break the noodles into a bowl , pour over boiling water to cover and allow to stand for 5 minutes , drain noodles into a colander and return to the bowl","allow, break, cover, drain, pour, return, stand","boiling, boiling water, bowl, colander, minutes, noodles"
"stir in the beaten eggs , flour , corn kernels , chives , parsley , flavour sachet and milk","beat, stir","beaten eggs, chives, corn, corn kernels, flavour, flavour sachet, flour, milk"
"heat a non stick pan , brush with oil , and drop spoonfuls of the mixture into the pan and cook until golden , turn over and cook until set","cook, drop, heat, set, turn","brush, cook, mixture, oil, pan, spoonfuls"
hard boil eggs and let sit in cold water for 5 minutes before peeling and cutting into 6-8 slices,"cut, let, peel, sit","boil eggs, cold water, hard boil, minutes, slices"
cook noodles for 2 minutes in boiling water then drain liquid and add in flavour satchets from 2 of the packets,"add, cook, drain","boiling, boiling water, flavour, flavour satchets, liquid, minutes, noodles, packets"
"gently mix cheese , ham and sliced egg into the noodles and serve immediately","mix, serve, slice","cheese, egg, noodles"
mix the dry spices together,mix,dry spices
wash and cut the cucumber and put the slices into the bowl-- don't pat them dry or anything,"cut, pat, put, wash","cucumber, slices"
leave them wet so it can pick up the seasoning,"leave, pick",seasoning
pour the seasoning mix onto the cucumber slices and toss around in the bowl so they each get plenty of the mix,"get, pour, toss","bowl, cucumber, cucumber slices, mix, plenty, seasoning, seasoning mix"
they're ready to eat ! about 2 generously-sized servings that are great for a lunch or snack side dish,eat,"lunch, side, side dish, sized servings, snack"
pour ingredients into a cocktail shaker with ice,pour,"cocktail, cocktail shaker, ice, ingredients"
shake and strain into a chilled martini glass,"shake, strain","chilled martini glass, martini"
"whisk the two together with a fork , dip your bread in , and enjoy","dip, enjoy, whisk","bread, fork"
heat the oil in a 10-inch skillet over medium-high heat,heat,"high heat, inch, inch skillet, oil"
add the chops and garlic and cook for 10 minutes or until the chops are well browned on both sides,"add, brown, cook","chops, garlic, minutes, sides"
remove the chops and set aside,"remove, set",chops
stir the soup and milk into the skillet,stir,"milk, skillet, soup"
return the chops to the skillet and reduce the heat to low,"reduce, return","chops, heat, skillet"
cover and cook for 5 minutes or until the chops are slightly pink in the center,"cook, cover","center, chops, minutes"
the internal temperature of the pork chops should reach 160f,reach,"160f, internal temperature, pork, pork chops"
this recipe is also on the campbells page used with chicken,use,"campbells, campbells page, chicken, recipe"
preheat oven to 325 degrees farenheit,preheat,degrees
layer in mixer in order given,give,"layer, mixer, order"
beat at low 1 minute,beat,low minute
beat at medium 2 minutes,beat,medium minutes
pour batter into a greased and floured 10 inch tube pan,flour,"greased, greased tube pan, inch, inch tube, pour, pour batter"
bake at 325 for 1 hour and 30 minutes or until it tests done in the middle,"do, test","hour, minutes"
cool in pan for 10 minutes,,"minutes, pan"
remove from pan and cool completely,"cool, remove",pan
"beat cream cheese , pumpkin , sugar and pumpkin pie spice in large bowl with wire whisk or electric mixer until smooth","beat, pumpkin","cream, cream cheese, electric mixer, large bowl, pie, pumpkin, pumpkin pie spice, sugar, wire, wire whisk"
gently stir in whipped topping,"stir, whip",whipped topping
refrigerate three hours or until set,refrigerate,"hours, set"
store leftover cheesecake in refrigerator,,"refrigerator, store, store leftover cheesecake"
cut each potato in half or into quarters if large,cut,"half, potato, quarters"
"place potatoes in large bowl & toss with olive oil , chopped rosemary , salt , and pepper","chop, toss","large bowl, olive oil, pepper, place, place potatoes, salt"
"roast potatoes 30 to 40 minutes , turning occasionally with metal spatula , until golden and fork-tender",turn,"fork, golden fork tender, metal, metal spatula, minutes, roast, roast potatoes"
heat tortillas in oil and drain,,"drain, heat, heat tortillas, oil"
place 1 t of mixture in the middle and roll up -- line them all up in a casserole and when done -- pour what's left over on top and cover with cheese,"cover, do, leave, line, pour, roll","casserole, cheese, middle, mixture, place, t, top"
bake 350 for 20 minutes,,minutes
top with salsa or any relish you like,like,"relish, salsa, top"
i make my own soup,make,own soup
i melt butter or margarine and add enough flour to make a thin paste and some salt and pepper,"add, make, margarine, melt","butter, enough flour, pepper, salt, thin paste"
i cook this about 2 min while stirring with a whisk as it thickens,"cook, stir, thicken","min, whisk"
"then i add 1 can of beef broth and some powdered chicken stock and when it gets to the consistency i want i add the 2 cans of chicken & the juice , sour cream and some chopped jalapenos","add, chop, get, want","beef, beef broth, cans, chicken, chopped jalapenos, consistency, juice, powdered chicken stock, sour cream"
after rolling up the tortillas i bake- 5 min before done i top with mexican cheese and some chopped tops of green onion,"bake-, chop, do, roll","chopped tops, green onion, mexican cheese, min, top"
we serve salsa on the side,"salsa, serve",side
season boneless chicken breast with black pepper and italian seasoning to taste,taste,"black pepper, boneless chicken breast, chicken, italian seasoning, season, season boneless"
"in a medium , non-stick sauce pan place half & half , butter , and cream cheese into pan",,"butter, cream, cream cheese, half, medium sauce pan place, non - stick sauce, pan"
stir constantly on low / low-medium setting and gradually add parmesan cheese,"add, stir","low low medium, medium setting, parmesan cheese"
"sauce will thicken as desired , usually 15-20 minutes","desire, thicken","minutes, sauce"
"drain noodles , cut chicken into strips and top with alfredo sauce","cut, drain","alfredo, alfredo sauce, chicken, drain noodles, strips, top"
cut chicken breasts into bite-sized pieces and begin heating the oil in a pan,"begin, cut, heat","bite, chicken, chicken breasts, oil, pan, sized pieces"
combine flour and salt in a bowl,combine,"bowl, flour, salt"
"in a smaller bowl , combine vinegar and baking soda","bake, combine","smaller bowl, soda, vinegar"
pour the vinegar and baking soda mixture into the flour mixture along with the 1 / 3 cup of water,"bake, pour","cup, flour, flour mixture, soda, soda mixture, vinegar, water"
stir to smoothen the batter,"smoothen, stir",batter
coat chicken piece in batter and let excess batter drip off before placing it into your hot oil,"drip, let, place","batter, chicken, coat chicken piece, hot oil"
fry till nice and golden brown,,
"meanwhile , in a skillet , melt butter or margarine and brown cubed chicken","cube, melt","butter, cubed chicken, margarine, skillet"
"add soup , pesto sauce and milk to skillet","add, skillet","milk, pesto, pesto sauce, soup"
bring to a boil and cook on low for about 5 minutes,"bring, cook","boil, minutes"
stir in pasta and heat through,"heat, stir",pasta
prepare frozen pasta as directed,"direct, prepare",frozen pasta
"while pasta is cooking , in a saucepan or skillet , heat olive oil","cook, skillet","heat, heat olive oil, olive, pasta, saucepan"
"add ground beef , onion and garlic",add,"garlic, ground, ground beef, onion"
cook until beef is browned,brown,"beef, cook"
"add tomatoes , wine or broth , mushrooms , basil and oregano / thyme and mix","add, mix","basil, broth, mushrooms, oregano, thyme, tomatoes, wine"
"simmer for 5 minutes , stirring occasionally","simmer, stir",minutes
add salt and pepper to taste,"add, taste","pepper, salt"
serve sauce over cooked pasta,serve,"cooked pasta, sauce"
heat oil in large nonstick skillet on medium-high heat,,"heat, heat oil, high heat, large nonstick, nonstick skillet"
sprinkle with 1 / 4 tsp,sprinkle,tsp
each of the garlic powder and rosemary,,garlic powder
cook 4 minutes on each side or until chicken is cooked through,cook,"chicken, minutes, side"
add broth and water to skillet,"add, skillet","broth, water"
stir in rice and remaining garlic powder and rosemary,"remain, stir","remaining garlic powder, rice"
cook on low heat 5 minutes,cook,"low heat, minutes"
heat oven to 300 degrees,oven,"degrees, heat"
"combine oats , nuts , salt , cinnamon and flax in a large bowl and set aside","combine, set","cinnamon, flax, large bowl, nuts, salt"
"combine oil , honey and vanilla in another , smaller bowl",combine,"honey, oil, smaller bowl, vanilla"
mix wet ingredients into dry - you may need to use your hands,"mix, need, use","hands, wet ingredients"
then spread the mixture onto two cookie sheets lined with foil or parchment,"line, spread","cookie, cookie sheets, foil, mixture, parchment"
then remove from oven and stir,"remove, stir",
bake an additional 10 minutes or until slightly golden,bake,additional minutes
remove from oven and allow to cool completely,"allow, cool, remove",
"when cooled , transfer into an airtight container for storage","cool, transfer","airtight, airtight container, storage"
"cook rice in hot oil in 2 to 3 litre saucepan over medium heat , stirring constantly , about 2 minutes","cook, stir","hot oil, litre, litre saucepan, medium heat, minutes, rice"
stir in onion and garlic,stir,"garlic, onion"
"cook , stirring about 1 minute","cook, stir",minute
cover with tight fitting lid,cover,tight fitting lid
cook 15 minutes or until rice is tender and liquid is absorbed,"absorb, cook","liquid, minutes, rice"
combine tomato paste and 1 tablespoon water,combine,"tablespoon, tablespoon water, tomato, tomato paste"
"stir tomato mixture , peas and carrots into rice",stir,"carrots, peas, rice, tomato, tomato mixture"
preheat oven to 425 degrees,preheat,degrees
line a rimmed baking sheet with foil,"bake, line","foil, rimmed baking sheet"
"whisk 2 / 3 cup salsa , 2 large eggs and 1 / 2 teaspoons salt in a large bowl to blend","blend, whisk","cup, large bowl, large eggs, salsa, teaspoons, teaspoons salt"
"add onion , crushed tortilla chips , cheese , cilantro , chili powder and ground beef","add, crush","cheese, chili powder, cilantro, ground, ground beef, onion, tortilla, tortilla chips"
"form into 5 inch long , 2 1 / 2 inch wide loaves on lined pan",form,"inch, wide loaves"
bake 20 minutes or until cooked through,cook,minutes
cook pasta 8 minutes while cooking ground beef over medium high heat,cook,"ground, ground beef, medium high heat, minutes, pasta"
"mix meat , pasta , and sauce","mix, sauce","meat, pasta"
bake at 325 for 15 minutes,,minutes
"in a skillet , brown pork chops in hot oil",,"brown pork chops, hot oil, pork, skillet"
cover and simmer until pork is no longer pink,cover,"pork, simmer"
"stir in shredded swiss , parmesan and nutmeg after removing from heat","remove, shred, stir","heat, nutmeg, parmesan"
serve over cooked rice or egg noodles,"cook, serve","cooked rice, egg, egg noodles"
"in a large pot , over medium heat , combine oil , onion , garlic , oregano and cumin",combine,"cumin, garlic, large pot, medium heat, oil, onion, oregano"
"cook , covered , 5 minutes , until onions are tender",cover,"cook, minutes, onions"
"stir in broth , hominy , chile peppers and olives",stir,"broth, chile, chile peppers, olives"
"bring to a boil , then reduce heat to medium","bring, medium, reduce","boil, heat"
cover and cook until chicken is no longer pink- 5 to 10 minutes,"cook, cover","chicken, minutes"
"can garnish with shredded lettuce , and radish or sour cream and grated sharp cheddar cheese","garnish, grate","cheddar, radish cream, sharp cheddar cheese, shredded lettuce"
heat oil in large skillet on medium heat,,"heat, heat oil, large skillet, medium heat"
add salmon and cook five minutes on each side until salmon flakes easily with fork,"add, cook","fork, minutes, salmon, salmon flakes, side"
add milk and 125 gram cream cheese product stir until cream cheese product is melted and mixture is well blended,"add, blend, melt, stir","cheese, cream, cream cheese product, gram, gram cream, milk, mixture"
stir in chopped cucumbers and dill,"chop, stir","chopped cucumbers, dill"
return salmon to skillet or until heated through,"heat, return, skillet",salmon
serve salmon topped with the warm cheese sauce,"serve, top","cheese, salmon, warm cheese sauce"
